"gov","minoria","pmdb","psd","psdb","pt","resultado","KIND"
"2","1","2","2","0","2","0.854",0
"0","1","2","2","0","2","0.772",0
"2","2","0","2","0","2","0.578",0
"0","2","0","2","0","2","0.48",0
"2","0","0","2","0","2","0.412",0
"0","0","0","2","0","2","0.27",0
"2","1","0","2","0","2","0.566",0
"0","1","0","2","0","2","0.428",0
"2","2","1","2","0","2","0.65",0
"0","2","1","2","0","2","0.548",0
"2","0","1","2","0","2","0.466",0
"0","0","1","2","0","2","0.316",0
"2","1","1","2","0","2","0.604",0
"0","1","1","2","0","2","0.468",0
"2","2","2","0","0","2","0.684",0
"0","2","2","0","0","2","0.514",0
"2","0","2","0","0","2","0.666",0
"0","0","2","0","0","2","0.5",0
"2","1","2","0","0","2","0.712",0
"0","1","2","0","0","2","0.544",0
